genus,measure,spearman_r,spearman_p,pearson_r,pearson_p,n,significant,direction
Porphyromonas,systolic,-0.0176,0.08568812287748753,-0.0044,0.6674880756333701,9520,False,negative
Porphyromonas,diastolic,-0.0083,0.4204650764710175,0.0034,0.7436588257018516,9498,False,negative
Fusobacterium,systolic,-0.0019,0.8512299438878458,-0.0151,0.14174580733976125,9520,False,negative
Fusobacterium,diastolic,0.0091,0.3743381432874393,0.0054,0.5959928514341281,9498,False,positive
Treponema,systolic,0.0117,0.25250285839585224,0.0062,0.5456674299113115,9520,False,positive
Treponema,diastolic,-0.0075,0.46585906221499784,-0.0045,0.6640645338034901,9498,False,negative
Tannerella,systolic,0.0405,7.881119053063268e-05,0.0209,0.04141913217370943,9520,True,positive
Tannerella,diastolic,0.0521,3.8277630442460266e-07,0.0328,0.0013897622762917572,9498,True,positive
Prevotella,systolic,-0.0365,0.0003701164192301534,-0.0291,0.00448035879001608,9520,True,negative
Prevotella,diastolic,-0.0088,0.3921831517898611,0.0004,0.9701871081901712,9498,False,negative
Veillonella,systolic,0.0331,0.0012557489242284142,0.0379,0.0002197418175635194,9520,True,positive
Veillonella,diastolic,0.013,0.20549895598195836,0.0171,0.09522779216373846,9498,False,positive
Rothia,systolic,0.0624,1.1385407669174817e-09,0.0624,1.1041440919114596e-09,9520,True,positive
Rothia,diastolic,0.0495,1.3746434213260564e-06,0.0452,1.0519605673336563e-05,9498,True,positive
Neisseria,systolic,-0.0614,1.972671183408799e-09,-0.0312,0.0023339873905345015,9520,True,negative
Neisseria,diastolic,-0.0476,3.533709333271869e-06,-0.0237,0.021020671128616265,9498,True,negative
Streptococcus,systolic,-0.0175,0.08808861722935919,-0.0112,0.27608989828532327,9520,False,negative
Streptococcus,diastolic,-0.0173,0.09270260882415354,-0.0208,0.042601980017395756,9498,False,negative
Haemophilus,systolic,-0.0467,5.191077393934393e-06,-0.0393,0.00012757701006680392,9520,True,negative
Haemophilus,diastolic,-0.0303,0.0031105970751463628,-0.0281,0.006098619586703555,9498,True,negative
