genus,spearman_r,spearman_p,pearson_r,pearson_p,n,significant,direction
Porphyromonas,-0.001,0.924842165559116,0.0013,0.9010550524700974,9360,False,negative
Fusobacterium,-0.0108,0.29710643091668976,0.0058,0.5745533128580943,9360,False,negative
Treponema,-0.0042,0.6862841333749973,-0.0054,0.5991942323415334,9360,False,negative
Tannerella,0.05,1.278723812459996e-06,0.0363,0.00045053701052672916,9360,True,positive
Prevotella,-0.0378,0.00025815410650957316,-0.0051,0.6233576409661412,9360,True,negative
Veillonella,0.0142,0.16843434152248374,0.018,0.08172802971492395,9360,False,positive
Rothia,0.0784,2.957279488308676e-14,0.0456,1.0012795536417834e-05,9360,True,positive
Neisseria,-0.042,4.852675065621085e-05,-0.0114,0.2696513139998388,9360,True,negative
Streptococcus,-0.0169,0.10131182753225121,0.0045,0.6626369109167969,9360,False,negative
Haemophilus,-0.0738,8.579326895045828e-13,-0.0671,8.132647808515722e-11,9360,True,negative
